C,C#,D,D#,E,F,F#,G,G#,A,A#,B,Acorde
-34.269822,-64.397644,-54.620263,-65.175722,-34.292075,-62.198865,-62.619636,-43.736769,-62.013801,-59.264064,-65.348857,-49.096275,0.000000
-33.556490,-67.590112,-52.970123,-65.160479,-36.197964,-59.308486,-59.245141,-42.838159,-59.556187,-56.209343,-63.737283,-50.263611,0.000000
-31.924530,-66.349752,-55.138355,-64.075789,-33.938281,-60.304122,-60.480051,-44.078317,-53.032673,-58.347287,-63.320335,-49.045393,0.000000
-34.450385,-67.160238,-52.454316,-64.427404,-34.147548,-63.450894,-59.905018,-44.299300,-61.012812,-56.849782,-62.454343,-50.631050,0.000000
-33.844002,-67.854925,-53.248054,-62.076108,-32.682262,-59.727584,-59.676128,-43.309478,-64.556870,-52.896100,-67.020944,-47.685397,0.000000
-33.799076,-64.415458,-54.213216,-61.508482,-32.587515,-64.514369,-59.268635,-42.646326,-61.548366,-54.546294,-65.831548,-47.358675,0.000000
-31.188962,-63.994760,-52.117202,-63.499360,-34.151454,-63.151180,-57.510528,-43.748090,-59.952380,-60.547032,-62.069952,-46.712639,0.000000
-33.196361,-67.079391,-53.558059,-68.923774,-33.023986,-60.885674,-61.832784,-42.828416,-64.614876,-56.571001,-63.101436,-47.036165,0.000000
-33.906716,-67.392112,-55.458729,-62.449505,-33.439637,-61.990238,-59.839483,-42.976455,-64.186598,-55.514369,-64.989974,-47.693372,0.000000
-30.145043,-63.912885,-53.018692,-59.907162,-32.722510,-58.025632,-54.780491,-42.017154,-63.541109,-53.411449,-57.280298,-49.912260,0.000000
-29.866518,-62.224990,-50.970234,-62.970623,-33.337843,-56.793211,-57.854546,-42.689214,-63.878711,-55.969182,-62.142148,-47.960532,0.000000
-32.079813,-69.972316,-50.833831,-62.612902,-32.462778,-61.501107,-56.360867,-42.343637,-63.721163,-54.473944,-61.950292,-46.671190,0.000000
-44.795313,-79.267141,-62.983705,-70.526775,-41.465224,-64.028373,-54.438020,-51.923775,-69.366137,-60.441259,-68.336624,-57.127231,0.000000
-42.704218,-74.495283,-56.003878,-73.162872,-38.949157,-64.673154,-52.524788,-48.408193,-64.100038,-60.660499,-68.985110,-54.429804,0.000000
-45.476105,-82.383148,-62.432815,-75.346866,-40.794899,-64.132091,-54.488556,-51.576989,-67.638259,-61.004582,-69.622944,-54.010003,0.000000
-45.667444,-77.702977,-63.507639,-74.246934,-42.043992,-64.279991,-58.785813,-52.810041,-69.315850,-70.939676,-70.564224,-56.290905,0.000000
-44.638410,-81.572860,-62.681413,-68.499135,-39.944365,-63.984529,-54.624244,-50.384567,-68.202633,-72.896919,-72.869525,-53.261915,0.000000
-44.228041,-78.652579,-58.032508,-72.085118,-38.161289,-64.572832,-49.184395,-46.368223,-64.350750,-63.230980,-67.843625,-51.129198,0.000000
-43.168998,-68.273277,-58.413710,-69.063004,-39.381677,-63.997666,-52.566690,-48.547182,-65.292600,-57.307876,-67.541348,-50.489438,0.000000
-41.412380,-74.524658,-54.466901,-68.916625,-39.648749,-64.418906,-49.899143,-46.946902,-65.089103,-61.588043,-68.848746,-50.026137,0.000000
-44.693510,-78.602188,-61.275825,-72.789697,-41.058489,-64.291210,-51.977243,-49.518040,-67.475062,-70.435504,-60.786583,-55.241658,0.000000
-46.904310,-77.161059,-59.793530,-72.098706,-44.077864,-63.756901,-56.626976,-53.772660,-68.882888,-64.606579,-65.880589,-59.422255,0.000000
-43.527299,-75.176388,-58.191701,-71.323052,-39.885145,-64.494978,-59.157309,-52.111093,-70.166628,-73.163495,-61.206747,-54.873127,0.000000
-40.846527,-75.433081,-55.107750,-70.949795,-40.022383,-61.640016,-60.862661,-50.692626,-65.234619,-65.272100,-64.153153,-56.342800,0.000000
